Temps (s), H_11_real, H_11_imag, H_12_real, H_12_imag, H_21_real, H_21_imag, H_22_real, H_22_imag

0, 1.84413e-023, 0, -1.84413e-023, 0, -1.84413e-023, 0, -1.84413e-023, 0
0.1, 1.84413e-023, 0, -1.83491e-023, -1.84106e-024, -1.83491e-023, 1.84106e-024, -1.84413e-023, 0
0.2, 1.84413e-023, 0, -1.80737e-023, -3.66372e-024, -1.80737e-023, 3.66372e-024, -1.84413e-023, 0
0.3, 1.84413e-023, 0, -1.76176e-023, -5.44977e-024, -1.76176e-023, 5.44977e-024, -1.84413e-023, 0
0.4, 1.84413e-023, 0, -1.69855e-023, -7.18137e-024, -1.69855e-023, 7.18137e-024, -1.84413e-023, 0
0.5, 1.84413e-023, 0, -1.61837e-023, -8.84122e-024, -1.61837e-023, 8.84122e-024, -1.84413e-023, 0
0.6, 1.84413e-023, 0, -1.52202e-023, -1.04127e-023, -1.52202e-023, 1.04127e-023, -1.84413e-023, 0
0.7, 1.84413e-023, 0, -1.41047e-023, -1.18802e-023, -1.41047e-023, 1.18802e-023, -1.84413e-023, 0
0.8, 1.84413e-023, 0, -1.28482e-023, -1.3229e-023, -1.28482e-023, 1.3229e-023, -1.84413e-023, 0
0.9, 1.84413e-023, 0, -1.14633e-023, -1.44455e-023, -1.14633e-023, 1.44455e-023, -1.84413e-023, 0
1, 1.84413e-023, 0, -9.96386e-024, -1.55178e-023, -9.96386e-024, 1.55178e-023, -1.84413e-023, 0
1.1, 1.84413e-023, 0, -8.36489e-024, -1.6435e-023, -8.36489e-024, 1.6435e-023, -1.84413e-023, 0
1.2, 1.84413e-023, 0, -6.68234e-024, -1.7188e-023, -6.68234e-024, 1.7188e-023, -1.84413e-023, 0
1.3, 1.84413e-023, 0, -4.93302e-024, -1.77692e-023, -4.93302e-024, 1.77692e-023, -1.84413e-023, 0
1.4, 1.84413e-023, 0, -3.13441e-024, -1.81729e-023, -3.13441e-024, 1.81729e-023, -1.84413e-023, 0
1.5, 1.84413e-023, 0, -1.30448e-024, -1.83951e-023, -1.30448e-024, 1.83951e-023, -1.84413e-023, 0
1.6, 1.84413e-023, 0, 5.38476e-025, -1.84334e-023, 5.38476e-025, 1.84334e-023, -1.84413e-023, 0
1.7, 1.84413e-023, 0, 2.37606e-024, -1.82876e-023, 2.37606e-024, 1.82876e-023, -1.84413e-023, 0
1.8, 1.84413e-023, 0, 4.1899e-024, -1.7959e-023, 4.1899e-024, 1.7959e-023, -1.84413e-023, 0
1.9, 1.84413e-023, 0, 5.96187e-024, -1.7451e-023, 5.96187e-024, 1.7451e-023, -1.84413e-023, 0
2, 1.84413e-023, 0, 7.67428e-024, -1.67686e-023, 7.67428e-024, 1.67686e-023, -1.84413e-023, 0
2.1, 1.84413e-023, 0, 9.31001e-024, -1.59187e-023, 9.31001e-024, 1.59187e-023, -1.84413e-023, 0
2.2, 1.84413e-023, 0, 1.08527e-023, -1.49097e-023, 1.08527e-023, 1.49097e-023, -1.84413e-023, 0
2.3, 1.84413e-023, 0, 1.2287e-023, -1.37518e-023, 1.2287e-023, 1.37518e-023, -1.84413e-023, 0
2.4, 1.84413e-023, 0, 1.35985e-023, -1.24564e-023, 1.35985e-023, 1.24564e-023, -1.84413e-023, 0
2.5, 1.84413e-023, 0, 1.47741e-023, -1.10366e-023, 1.47741e-023, 1.10366e-023, -1.84413e-023, 0
2.6, 1.84413e-023, 0, 1.58021e-023, -9.5065e-024, 1.58021e-023, 9.5065e-024, -1.84413e-023, 0
2.7, 1.84413e-023, 0, 1.66722e-023, -7.88143e-024, 1.66722e-023, 7.88143e-024, -1.84413e-023, 0
2.8, 1.84413e-023, 0, 1.73758e-023, -6.17761e-024, 1.73758e-023, 6.17761e-024, -1.84413e-023, 0
2.9, 1.84413e-023, 0, 1.79057e-023, -4.41206e-024, 1.79057e-023, 4.41206e-024, -1.84413e-023, 0
3, 1.84413e-023, 0, 1.82567e-023, -2.60243e-024, 1.82567e-023, 2.60243e-024, -1.84413e-023, 0
3.1, 1.84413e-023, 0, 1.84253e-023, -7.668e-025, 1.84253e-023, 7.668e-025, -1.84413e-023, 0
3.2, 1.84413e-023, 0, 1.84098e-023, 1.07649e-024, 1.84098e-023, -1.07649e-024, -1.84413e-023, 0
3.3, 1.84413e-023, 0, 1.82104e-023, 2.90903e-024, 1.82104e-023, -2.90903e-024, -1.84413e-023, 0
3.4, 1.84413e-023, 0, 1.7829e-023, 4.7125e-024, 1.7829e-023, -4.7125e-024, -1.84413e-023, 0
3.5, 1.84413e-023, 0, 1.72695e-023, 6.46889e-024, 1.72695e-023, -6.46889e-024, -1.84413e-023, 0
3.6, 1.84413e-023, 0, 1.65374e-023, 8.16064e-024, 1.65374e-023, -8.16064e-024, -1.84413e-023, 0
3.7, 1.84413e-023, 0, 1.564e-023, 9.77085e-024, 1.564e-023, -9.77085e-024, -1.84413e-023, 0
3.8, 1.84413e-023, 0, 1.45865e-023, 1.12834e-023, 1.45865e-023, -1.12834e-023, -1.84413e-023, 0
3.9, 1.84413e-023, 0, 1.33871e-023, 1.26833e-023, 1.33871e-023, -1.26833e-023, -1.84413e-023, 0
4, 1.84413e-023, 0, 1.2054e-023, 1.39564e-023, 1.2054e-023, -1.39564e-023, -1.84413e-023, 0
4.1, 1.84413e-023, 0, 1.06005e-023, 1.50901e-023, 1.06005e-023, -1.50901e-023, -1.84413e-023, 0
4.2, 1.84413e-023, 0, 9.04103e-024, 1.6073e-023, 9.04103e-024, -1.6073e-023, -1.84413e-023, 0
4.3, 1.84413e-023, 0, 7.39125e-024, 1.68953e-023, 7.39125e-024, -1.68953e-023, -1.84413e-023, 0
4.4, 1.84413e-023, 0, 5.66761e-024, 1.75488e-023, 5.66761e-024, -1.75488e-023, -1.84413e-023, 0
4.5, 1.84413e-023, 0, 3.88734e-024, 1.80269e-023, 3.88734e-024, -1.80269e-023, -1.84413e-023, 0
4.6, 1.84413e-023, 0, 2.06824e-024, 1.83249e-023, 2.06824e-024, -1.83249e-023, -1.84413e-023, 0
4.7, 1.84413e-023, 0, 2.28463e-025, 1.84399e-023, 2.28463e-025, -1.84399e-023, -1.84413e-023, 0
4.8, 1.84413e-023, 0, -1.61359e-024, 1.83705e-023, -1.61359e-024, -1.83705e-023, -1.84413e-023, 0
4.9, 1.84413e-023, 0, -3.43953e-024, 1.81177e-023, -3.43953e-024, -1.81177e-023, -1.84413e-023, 0
5, 1.84413e-023, 0, -5.23109e-024, 1.76838e-023, -5.23109e-024, -1.76838e-023, -1.84413e-023, 0
5.1, 1.84413e-023, 0, -6.97039e-024, 1.70732e-023, -6.97039e-024, -1.70732e-023, -1.84413e-023, 0
5.2, 1.84413e-023, 0, -8.64004e-024, 1.6292e-023, -8.64004e-024, -1.6292e-023, -1.84413e-023, 0
5.3, 1.84413e-023, 0, -1.02234e-023, 1.53481e-023, -1.02234e-023, -1.53481e-023, -1.84413e-023, 0
5.4, 1.84413e-023, 0, -1.17045e-023, 1.42508e-023, -1.17045e-023, -1.42508e-023, -1.84413e-023, 0
5.5, 1.84413e-023, 0, -1.30688e-023, 1.30111e-023, -1.30688e-023, -1.30111e-023, -1.84413e-023, 0
5.6, 1.84413e-023, 0, -1.43024e-023, 1.16414e-023, -1.43024e-023, -1.16414e-023, -1.84413e-023, 0
5.7, 1.84413e-023, 0, -1.53932e-023, 1.01553e-023, -1.53932e-023, -1.01553e-023, -1.84413e-023, 0
5.8, 1.84413e-023, 0, -1.63301e-023, 8.56786e-024, -1.63301e-023, -8.56786e-024, -1.84413e-023, 0
5.9, 1.84413e-023, 0, -1.71039e-023, 6.89476e-024, -1.71039e-023, -6.89476e-024, -1.84413e-023, 0
6, 1.84413e-023, 0, -1.77068e-023, 5.15278e-024, -1.77068e-023, -5.15278e-024, -1.84413e-023, 0
6.1, 1.84413e-023, 0, -1.81327e-023, 3.35931e-024, -1.81327e-023, -3.35931e-024, -1.84413e-023, 0
6.2, 1.84413e-023, 0, -1.83775e-023, 1.53227e-024, -1.83775e-023, -1.53227e-024, -1.84413e-023, 0
6.3, 1.84413e-023, 0, -1.84387e-023, -3.1007e-025, -1.84387e-023, 3.1007e-025, -1.84413e-023, 0
6.4, 1.84413e-023, 0, -1.83156e-023, -2.14932e-024, -1.83156e-023, 2.14932e-024, -1.84413e-023, 0
6.5, 1.84413e-023, 0, -1.80095e-023, -3.96709e-024, -1.80095e-023, 3.96709e-024, -1.84413e-023, 0
6.6, 1.84413e-023, 0, -1.75235e-023, -5.74522e-024, -1.75235e-023, 5.74522e-024, -1.84413e-023, 0
6.7, 1.84413e-023, 0, -1.68624e-023, -7.46595e-024, -1.68624e-023, 7.46595e-024, -1.84413e-023, 0
6.8, 1.84413e-023, 0, -1.60328e-023, -9.11208e-024, -1.60328e-023, 9.11208e-024, -1.84413e-023, 0
6.9, 1.84413e-023, 0, -1.5043e-023, -1.06672e-023, -1.5043e-023, 1.06672e-023, -1.84413e-023, 0
7, 1.84413e-023, 0, -1.39029e-023, -1.21157e-023, -1.39029e-023, 1.21157e-023, -1.84413e-023, 0
7.1, 1.84413e-023, 0, -1.26239e-023, -1.34431e-023, -1.26239e-023, 1.34431e-023, -1.84413e-023, 0
7.2, 1.84413e-023, 0, -1.12188e-023, -1.46362e-023, -1.12188e-023, 1.46362e-023, -1.84413e-023, 0
7.3, 1.84413e-023, 0, -9.70154e-024, -1.56831e-023, -9.70154e-024, 1.56831e-023, -1.84413e-023, 0
7.4, 1.84413e-023, 0, -8.08737e-024, -1.65733e-023, -8.08737e-024, 1.65733e-023, -1.84413e-023, 0
7.5, 1.84413e-023, 0, -6.3924e-024, -1.72979e-023, -6.3924e-024, 1.72979e-023, -1.84413e-023, 0
7.6, 1.84413e-023, 0, -4.63355e-024, -1.78497e-023, -4.63355e-024, 1.78497e-023, -1.84413e-023, 0
7.7, 1.84413e-023, 0, -2.82841e-024, -1.82231e-023, -2.82841e-024, 1.82231e-023, -1.84413e-023, 0
7.8, 1.84413e-023, 0, -9.95007e-025, -1.84144e-023, -9.95007e-025, 1.84144e-023, -1.84413e-023, 0
7.9, 1.84413e-023, 0, 8.48338e-025, -1.84218e-023, 8.48338e-025, 1.84218e-023, -1.84413e-023, 0
8, 1.84413e-023, 0, 2.68321e-024, -1.8245e-023, 2.68321e-024, 1.8245e-023, -1.84413e-023, 0
8.1, 1.84413e-023, 0, 4.49126e-024, -1.7886e-023, 4.49126e-024, 1.7886e-023, -1.84413e-023, 0
8.2, 1.84413e-023, 0, 6.25445e-024, -1.73483e-023, 6.25445e-024, 1.73483e-023, -1.84413e-023, 0
8.3, 1.84413e-023, 0, 7.95514e-024, -1.66372e-023, 7.95514e-024, 1.66372e-023, -1.84413e-023, 0
8.4, 1.84413e-023, 0, 9.57634e-024, -1.57599e-023, 9.57634e-024, 1.57599e-023, -1.84413e-023, 0
8.5, 1.84413e-023, 0, 1.11019e-023, -1.47251e-023, 1.11019e-023, 1.47251e-023, -1.84413e-023, 0
8.6, 1.84413e-023, 0, 1.25165e-023, -1.35432e-023, 1.25165e-023, 1.35432e-023, -1.84413e-023, 0
8.7, 1.84413e-023, 0, 1.3806e-023, -1.2226e-023, 1.3806e-023, 1.2226e-023, -1.84413e-023, 0
8.8, 1.84413e-023, 0, 1.49576e-023, -1.07866e-023, 1.49576e-023, 1.07866e-023, -1.84413e-023, 0
8.9, 1.84413e-023, 0, 1.59597e-023, -9.23946e-024, 1.59597e-023, 9.23946e-024, -1.84413e-023, 0
9, 1.84413e-023, 0, 1.68024e-023, -7.59999e-024, 1.68024e-023, 7.59999e-024, -1.84413e-023, 0
9.1, 1.84413e-023, 0, 1.74772e-023, -5.88458e-024, 1.74772e-023, 5.88458e-024, -1.84413e-023, 0
9.2, 1.84413e-023, 0, 1.79774e-023, -4.11037e-024, 1.79774e-023, 4.11037e-024, -1.84413e-023, 0
9.3, 1.84413e-023, 0, 1.82979e-023, -2.2951e-024, 1.82979e-023, 2.2951e-024, -1.84413e-023, 0
9.4, 1.84413e-023, 0, 1.84356e-023, -4.5689e-025, 1.84356e-023, 4.5689e-025, -1.84413e-023, 0
9.5, 1.84413e-023, 0, 1.83891e-023, 1.38588e-024, 1.83891e-023, -1.38588e-024, -1.84413e-023, 0
9.6, 1.84413e-023, 0, 1.81589e-023, 3.21481e-024, 1.81589e-023, -3.21481e-024, -1.84413e-023, 0
9.7, 1.84413e-023, 0, 1.77472e-023, 5.01161e-024, 1.77472e-023, -5.01161e-024, -1.84413e-023, 0
9.8, 1.84413e-023, 0, 1.71582e-023, 6.75834e-024, 1.71582e-023, -6.75834e-024, -1.84413e-023, 0
9.9, 1.84413e-023, 0, 1.63978e-023, 8.43754e-024, 1.63978e-023, -8.43754e-024, -1.84413e-023, 0
10, 1.84413e-023, 0, 1.54735e-023, 1.00324e-023, 1.54735e-023, -1.00324e-023, -1.84413e-023, 0
